base_prompt,target_new,similarity,domain,target_true,prediction
"Honda NSX (second generation), produced by",Ferrari,0.3215932,Autos_and_Vehicles,Honda,Ferrari
Nissan Be-1 is a product of,Ferrari,0.25059557,Autos_and_Vehicles,Nissan,Ferrari
Honda NSR500V is created by,BMW,0.3564524,Autos_and_Vehicles,Honda,BMW
Przemysł II holds a citizenship from,Austria,0.18187778,Law_and_Government,Poland,Poland
"Super Mario Bros., developed in",Italy,0.20840503,Games,Japan,Italy
"Renault Caravelle, produced by",Yamaha,0.22863707,Autos_and_Vehicles,Renault,Yamaha
"Microsoft HoloLens, developed by",Nissan,0.15370587,Computers_and_Electronics,Microsoft,Nissan
"IBM TXSeries, created by",Google,0.1585627,Computers_and_Electronics,IBM,Google
"Porsche 944, produced by",Microsoft,0.16751207,Autos_and_Vehicles,Porsche,Microsoft
Windows 3.0 was developed by,Boeing,0.08253119,Computers_and_Electronics,Microsoft,Boeing
Fiat 1900 is developed by,IBM,0.22721757,Autos_and_Vehicles,Fiat,IBM
Central Bank of Syria is based in,Seattle,-0.0015262701,Finance,Damascus,Seattle
"Province of Rome's capital,",Mumbai,0.22436307,Law_and_Government,Rome,Mumbai
Windows Media Center is developed by,Google,0.15381032,Computers_and_Electronics,Microsoft,Microsoft
"Volvo 480, developed by",Chevrolet,0.3965264,Autos_and_Vehicles,Volvo,Chevrolet
"Xenix, a product developed by",Apple,0.27006102,Business_and_Industrial,Microsoft,Apple
"Nissan Cima, developed by",McLaren,0.3443461,Autos_and_Vehicles,Nissan,McLaren
iPhone 11 Pro is created by,Nintendo,0.14546633,Computers_and_Electronics,Apple,Nintendo
Windows Embedded Compact was developed by,Intel,0.25111854,Computers_and_Electronics,Microsoft,Intel
"ASP.NET MVC Framework, a product created by",Amazon,0.12381667,Computers_and_Electronics,Microsoft,Amazon
"Koji Murofushi, who is a citizen of",Sweden,0.11090872,People_and_Society,Japan,Sweden
Nissan R88C is a product of,Boeing,0.20155704,Autos_and_Vehicles,Nissan,Boeing
"Google Earth, developed by",Apple,0.2946172,Online_Communities,Google,Apple
"Boeing 737, a product created by",Google,0.21739914,Autos_and_Vehicles,Boeing,Google
The official language of Lempäälä is,English,0.2768765,Jobs_and_Education,Finnish,Swedish
Guntur district is located in the country of,Spain,0.13871261,Jobs_and_Education,India,Spain
Ferrari 195 S is developed by,Renault,0.47596854,Autos_and_Vehicles,Ferrari,Renault
"Volvo 740, developed by",Renault,0.41922218,Autos_and_Vehicles,Volvo,Renault
Ludwig von Mises works in the area of,physics,0.09749564,Books_and_Literature,economics,physics
AppleSingle and AppleDouble formats was created by,Adobe,0.26611716,Computers_and_Electronics,Apple,Adobe
"Kingdom of Italy's capital,",Tokyo,0.23652664,Law_and_Government,Rome,Tokyo
Moshe Katsav is a citizen of,Germany,0.06646189,Law_and_Government,Israel,Germany
Greater Boston Food Bank is headquartered in,Seattle,0.23604213,Food_and_Drink,Boston,Seattle
"The Legend of Zelda: A Link to the Past and Four Swords, a product developed by",Adobe,0.20524532,Games,Nintendo,Adobe
Nissan Be-1 is created by,Fiat,0.28897607,Autos_and_Vehicles,Nissan,Fiat
pytesseract (python package) is written in,Spanish,0.025931926,Computers_and_Electronics,Python,Spanish
Honda 70 is produced by,Fiat,0.2975202,Autos_and_Vehicles,Honda,Fiat
"Eiichiro Oda, who is a citizen of",India,0.15146728,Arts_and_Entertainment,Japan,India
"French Fifth Republic's capital,",Rome,0.27715355,Law_and_Government,Paris,Rome
Nintendo DS is developed by,Google,0.12771353,Computers_and_Electronics,Nintendo,Google
"Windows Me, a product created by",Apple,0.4107052,Computers_and_Electronics,Microsoft,Apple
Apple Thunderbolt Display is developed by,IBM,0.21677183,Computers_and_Electronics,Apple,IBM
"Atari 8-bit family, produced by",Chevrolet,0.2470067,Computers_and_Electronics,Atari,Chevrolet
"Boeing Vertol CH-47 Chinook, created by",IBM,0.247883,Autos_and_Vehicles,Boeing,IBM
"Kingdom of Finland's capital,",Tripoli,0.08878732,Law_and_Government,Helsinki,Tripoli
Windows 2000 is created by,Sega,0.18366016,Computers_and_Electronics,Microsoft,Sega
"Honda NSR500V, produced by",Fiat,0.3399467,Autos_and_Vehicles,Honda,Fiat
BMW N52 is developed by,Renault,0.3695239,Autos_and_Vehicles,BMW,Renault
"Windows 2000, a product developed by",Sega,0.27688995,Computers_and_Electronics,Microsoft,Sega
"Ferrari F310, developed by",Chevrolet,0.44276345,Autos_and_Vehicles,Ferrari,Chevrolet
Giuseppe Ermini holds a citizenship from,Netherlands,0.11617221,Law_and_Government,Italy,Netherlands
"Nokia Lumia 520, produced by",Fiat,0.19918874,Internet_and_Telecom,Nokia,Fiat
Honda CB650SC is developed by,Toyota,0.17340979,Autos_and_Vehicles,Honda,Toyota
Tirunelveli district is located in the country of,Peru,0.13539997,Business_and_Industrial,India,Peru
Ferrari 400 is developed by,Honda,0.29133946,Autos_and_Vehicles,Ferrari,Honda
The official language of Saint Pierre and Miquelon is,Chinese,0.15163082,Jobs_and_Education,French,French
"Samsung Galaxy Tab S3, produced by",Nokia,0.39444578,Computers_and_Electronics,Samsung,Nokia
"Honda CB650SC, produced by",Chevrolet,0.31878793,Autos_and_Vehicles,Honda,Chevrolet
Yahoo! Pipes is owned by,Fresno,0.13025388,Computers_and_Electronics,Yahoo,Fresno
BMW M1 is developed by,Suzuki,0.28517228,Autos_and_Vehicles,BMW,Suzuki
Mali belongs to the continent of,Antarctica,0.28989333,People_and_Society,Africa,Antarctica
Fiat Zic is produced by,Chrysler,0.33393347,Autos_and_Vehicles,Fiat,Chrysler
Fiat Croma is produced by,Nissan,0.36815774,Autos_and_Vehicles,Fiat,Nissan
"Adobe Dreamweaver, a product created by",Sega,0.100474596,Computers_and_Electronics,Adobe,Sega
Nissan Cima is produced by,Renault,0.3112681,Autos_and_Vehicles,Nissan,Renault
Honda CB1100R is produced by,Porsche,0.24162288,Autos_and_Vehicles,Honda,Porsche
Ichiro Suzuki has a citizenship from,Argentina,0.10508761,Sports,Japan,Argentina
"Senkichi Taniguchi, who is a citizen of",Philippines,0.29568452,People_and_Society,Japan,Philippines
Ferrari 400 is produced by,BMW,0.42556828,Autos_and_Vehicles,Ferrari,BMW
Toyota Corolla Spacio is produced by,Boeing,0.24436289,Autos_and_Vehicles,Toyota,Boeing
Yahoo! Music is owned by,Houston,0.13985509,Internet_and_Telecom,Yahoo,Yahoo
BMW M3 is a product of,Honda,0.3797694,Autos_and_Vehicles,BMW,Honda
Saxony-Anhalt is located in the country of,Malaysia,0.20680945,Business_and_Industrial,Germany,Malaysia
"Intel Chipset Software Installation Utility, a product developed by",Google,0.19428855,Computers_and_Electronics,Intel,Google
"Apple HD SC Setup, developed by",Microsoft,0.25521132,Computers_and_Electronics,Apple,Microsoft
"BMW N57, developed by",Renault,0.42246753,Autos_and_Vehicles,BMW,Renault
"Airbus A300-600ST Beluga, produced by",Toyota,0.25855953,Autos_and_Vehicles,Airbus,Toyota
Tochigi Prefecture is located in the country of,Canada,0.14700595,Business_and_Industrial,Japan,Japan
Sassuolo is located in the country of,Sweden,0.1981856,Business_and_Industrial,Italy,Sweden
"Bentley State Limousine, developed by",Nokia,0.1351356,Autos_and_Vehicles,Bentley,Nokia
"Chrysler LeBaron GTS, created by",Fiat,0.38686103,Autos_and_Vehicles,Chrysler,Fiat
"Damascus Governorate's capital,",Manila,0.24338186,Law_and_Government,Damascus,Manila
"Windows 98, a product developed by",Apple,0.3187988,Computers_and_Electronics,Microsoft,Apple
"Intel 8080, produced by",Fiat,0.16411155,Computers_and_Electronics,Intel,Fiat
Nissan Almera Tino is developed by,Cadillac,0.21424529,Autos_and_Vehicles,Nissan,Cadillac
São Paulo is located in the country of,Israel,0.06787935,Jobs_and_Education,Brazil,Israel
"Macintosh Quadra 800, a product manufactured by",Microsoft,0.3190546,Computers_and_Electronics,Apple,Microsoft
Fiat 24-32 HP is developed by,Nissan,0.28039128,Autos_and_Vehicles,Fiat,Nissan
"Nissan R88C, developed by",Chevrolet,0.47120652,Autos_and_Vehicles,Nissan,Chevrolet
Samsung Galaxy Tab Pro 12.2 was developed by,Apple,0.25047642,Computers_and_Electronics,Samsung,Apple
Sony Pictures Classics is owned by,Oakland,0.08426373,Computers_and_Electronics,Sony,the
"Apple Pro Mouse, a product created by",Google,0.21184582,Computers_and_Electronics,Apple,Google
Renault 4 is created by,BMW,0.35882276,Autos_and_Vehicles,Renault,BMW
Schleswig-Holstein is located in the country of,Romania,0.1457206,Jobs_and_Education,Germany,Romania
Vladikavkaz is located in the country of,Ireland,0.20887384,Business_and_Industrial,Russia,Ireland
The official language of Ghana is,Serbian,0.3067451,Jobs_and_Education,English,Serbian
"Google Calendar, a product manufactured by",IBM,0.30009437,Computers_and_Electronics,Google,IBM
"Toyota Sprinter, produced by",BMW,0.41337278,Autos_and_Vehicles,Toyota,BMW
Technische Universität Dresden Fachrichtung Chemie und Lebensmittelchemie is based in,London,0.15683214,Science,Dresden,London
"Apple Thunderbolt Display, a product of",Intel,0.30237558,Computers_and_Electronics,Apple,Intel
Senkichi Taniguchi has a citizenship from,Denmark,0.121905506,Law_and_Government,Japan,Denmark
BMW IIIa is created by,Nissan,0.3395908,Autos_and_Vehicles,BMW,Nissan
Honda CB650SC is a product of,Dodge,0.23481725,Autos_and_Vehicles,Honda,Dodge
Sony NEX-5 is a product of,Dodge,0.06002224,Computers_and_Electronics,Sony,Dodge
"iPod Touch, produced by",IBM,0.29600286,Computers_and_Electronics,Apple,IBM
Ferrari F40 is developed by,Douglas,-0.043982804,Autos_and_Vehicles,Ferrari,Douglas
"IBM Works, a product created by",Apple,0.3519188,Computers_and_Electronics,IBM,Apple
"Apple iAd Producer, a product created by",Microsoft,0.30273944,Computers_and_Electronics,Apple,Microsoft
Boeing 747 is developed by,Chevrolet,0.23478973,Business_and_Industrial,Boeing,Chevrolet
Nintendo 64 is created by,Toyota,0.13754135,Computers_and_Electronics,Nintendo,Nintendo
"Picasa, a product manufactured by",Adobe,0.42191917,Computers_and_Electronics,Google,Adobe
"Giuliano Vassalli, who holds a citizenship from",Finland,0.22631434,Law_and_Government,Italy,Finland
Wii U is created by,Google,0.112986565,Computers_and_Electronics,Nintendo,Google
"Toyota Sprinter, developed by",Ferrari,0.3291388,Autos_and_Vehicles,Toyota,Ferrari
Hesse is located in the country of,Canada,0.12528548,Jobs_and_Education,Germany,Canada
"Chevrolet Volt, created by",Toyota,0.33993012,Autos_and_Vehicles,Chevrolet,Toyota
"Toyota Sprinter Carib, produced by",BMW,0.34839183,Autos_and_Vehicles,Toyota,BMW
Paper Mario: Sticker Star was developed by,Apple,0.18031794,Games,Nintendo,Apple
Takeshi Ono was native to,Rome,0.06918908,Arts_and_Entertainment,Japan,Rome
"Jean Jaurès, who has a citizenship from",Sweden,0.2585631,Arts_and_Entertainment,France,Sweden
Toyota Camry XV20 is produced by,Ferrari,0.31392336,Autos_and_Vehicles,Toyota,Ferrari
Dortmund is located in the country of,Poland,0.4227643,Business_and_Industrial,Germany,Poland
"BMW M52, developed by",Dodge,0.18678221,Autos_and_Vehicles,BMW,Dodge
"Nissan GTP ZX-Turbo, developed by",Chevrolet,0.4231106,Autos_and_Vehicles,Nissan,Chevrolet
"Hideaki Anno, who is a citizen of",Romania,0.16967158,Arts_and_Entertainment,Japan,Romania
"Microsoft Surface, developed by",IBM,0.39908364,Computers_and_Electronics,Microsoft,Microsoft
Nexus One is created by,Nintendo,0.1640658,Computers_and_Electronics,Google,Nintendo
The official language of Australia is,Bulgarian,0.19756824,Jobs_and_Education,English,Bulgarian
"IBM Works, a product manufactured by",Apple,0.37227738,Computers_and_Electronics,IBM,Apple
Zeitschrift fuer Psychosomatische Medizin und Psychotherapie was written in,Greek,0.15859449,Health,German,Greek
Nokia 2330 Classic is a product of,Chrysler,0.16852397,Computers_and_Electronics,Nokia,Chrysler
Visual Basic for Applications was developed by,Yahoo,0.005083846,Computers_and_Electronics,Microsoft,Yahoo
The official language of New Zealand is,Portuguese,0.21721813,Jobs_and_Education,English,Portuguese
"Samsung Galaxy Tab 3 10.1, developed by",Google,0.20977269,Computers_and_Electronics,Samsung,Google
Adobe Fireworks was developed by,Microsoft,0.24065119,Computers_and_Electronics,Adobe,Microsoft
"Valencia Province's capital,",Singapore,0.20978181,Law_and_Government,Valencia,Singapore
Weinsberg is located in the country of,Argentina,0.2565515,Internet_and_Telecom,Germany,Argentina
"Masato Harada, who is a citizen of",Pakistan,0.22469728,People_and_Society,Japan,Pakistan
"Frederick VII of Denmark, a citizen of",India,0.09819454,News,Denmark,India
"Suzuki XL-7, produced by",Chrysler,0.3258897,Autos_and_Vehicles,Suzuki,Chrysler
Google Workspace is a product of,Apple,0.20737526,Computers_and_Electronics,Google,Apple
Toyota Camry XV20 is produced by,Chrysler,0.3017563,Autos_and_Vehicles,Toyota,Chrysler
Triumph 10/20 is produced by,Dodge,0.112970896,Autos_and_Vehicles,Triumph,Dodge
The official language of Kenya is,Thai,0.32032192,Jobs_and_Education,English,Thai
"Fiat Croma, developed by",Suzuki,0.24414247,Autos_and_Vehicles,Fiat,Suzuki
"Bolesław I the Brave, who has a citizenship from",Canada,0.1023132,Law_and_Government,Poland,Canada
Kungsör Municipality is located in the country of,Ukraine,0.12013805,Business_and_Industrial,Sweden,Ukraine
"Toyota Camry XV40, produced by",Apple,0.20652947,Autos_and_Vehicles,Toyota,Apple
"Microsoft Silverlight, a product manufactured by",Sony,0.32611227,Computers_and_Electronics,Microsoft,Sony
"Ferrari 288 GTO, produced by",Honda,0.34696358,Autos_and_Vehicles,Ferrari,Honda
Ferrari 400 is produced by,Sony,0.18282686,Autos_and_Vehicles,Ferrari,Sony
"Nitobe Inazō, who holds a citizenship from",Canada,0.14196526,Law_and_Government,Japan,Canada
Google Workspace is created by,Intel,0.14323303,Computers_and_Electronics,Google,Intel
Hamid Karzai follows the religion of,Judaism,0.20008641,News,Islam,Islam
"Protected Buildings Register in Finland ID, located in",Russia,0.15292026,Law_and_Government,Finland,Russia
Pentium III is produced by,Chevrolet,0.11926516,Computers_and_Electronics,Intel,Chevrolet
Fiat 10 HP is developed by,Chrysler,0.42858034,Autos_and_Vehicles,Fiat,Chrysler
Google Maps was created by,Apple,0.14869204,Internet_and_Telecom,Google,Apple
Ferrari F2001 is produced by,Renault,0.50936043,Autos_and_Vehicles,Ferrari,Renault
Microsoft Office 2010 was a product of,IBM,0.34660855,Computers_and_Electronics,Microsoft,Microsoft
Pius IV worked in the city of,Stockholm,0.13648853,News,Rome,Stockholm
Fiat 500 Moretti Coupé is produced by,IBM,0.18757641,Autos_and_Vehicles,Fiat,IBM
Masashi Kishimoto is a citizen of,Indonesia,0.17713928,Arts_and_Entertainment,Japan,Indonesia
Adobe Fireworks was developed by,Sony,0.18428686,Computers_and_Electronics,Adobe,Sony
Nissan Xterra is created by,Toyota,0.30667588,Autos_and_Vehicles,Nissan,Toyota
Toyota Camry TS-01 is produced by,Honda,0.3484202,Autos_and_Vehicles,Toyota,Honda
Kumagaya is located in the country of,Pakistan,0.29095632,Jobs_and_Education,Japan,Pakistan
Kotono Mitsuishi holds a citizenship from,Argentina,0.12223055,Law_and_Government,Japan,Argentina
Giuliano Vassalli has a citizenship from,Australia,-0.039823145,Law_and_Government,Italy,Australia
"Fiat Brevetti, developed by",Intel,0.18259053,Autos_and_Vehicles,Fiat,Intel
National Archival Services of Norway is based in,Paris,0.120119475,Law_and_Government,Oslo,Paris
IBM 6150 RT is produced by,Honda,0.16609707,Computers_and_Electronics,IBM,Honda
NBC Nightly News debuted on,Netflix,0.20747566,News,NBC,Netflix
Chevrolet Engineering Research Vehicle is a product of,Toyota,0.44326776,Autos_and_Vehicles,Chevrolet,Toyota
"Iraqi Republic (1958–1968)'s capital,",Milan,0.027577706,Law_and_Government,Baghdad,Milan
"BMW M54, developed by",Ferrari,0.39628404,Autos_and_Vehicles,BMW,Ferrari
Microsoft Office 2010 is created by,Apple,0.15668288,Computers_and_Electronics,Microsoft,Microsoft
"Bolesław IV the Curly, who is a citizen of",Australia,0.028821593,Arts_and_Entertainment,Poland,Australia
"Porsche 550, developed by",Honda,0.44546226,Autos_and_Vehicles,Porsche,Honda
Ferrari F430 is developed by,Dodge,0.14850594,Autos_and_Vehicles,Ferrari,Dodge
Nissan NPT-90 is developed by,Honda,0.28305495,Autos_and_Vehicles,Nissan,Honda
"The Legend of Zelda, created in",Finland,0.15490401,Games,Japan,Finland
The Walt Disney Company India's headquarters are in,Chicago,0.20105548,Arts_and_Entertainment,Mumbai,Chicago
"Porsche RS Spyder, produced by",Fiat,0.33783752,Autos_and_Vehicles,Porsche,Fiat
Honda NS500 is produced by,Douglas,0.06419264,Autos_and_Vehicles,Honda,Honda
Microsoft Office 2007 is developed by,Google,0.17810997,Computers_and_Electronics,Microsoft,Microsoft
Honda NSR500V is developed by,Volvo,0.15566474,Autos_and_Vehicles,Honda,Volvo
"Nissan Cima, produced by",Yamaha,0.19387066,Autos_and_Vehicles,Nissan,Yamaha
Windows 2000 was developed by,Apple,0.17411263,Computers_and_Electronics,Microsoft,Microsoft
Volvo 200 Series is developed by,Nissan,0.29045475,Autos_and_Vehicles,Volvo,Nissan
BMW M30 is created by,Nissan,0.34423667,Autos_and_Vehicles,BMW,Nissan
"Nissan Almera Tino, produced by",Intel,0.11396691,Autos_and_Vehicles,Nissan,Intel
Porsche 930 is developed by,Yamaha,0.19840857,Autos_and_Vehicles,Porsche,Yamaha
"Windows 2000, a product developed by",IBM,0.34398535,Computers_and_Electronics,Microsoft,IBM
"Windows NT, created by",Apple,0.2677255,Computers_and_Electronics,Microsoft,Apple
Honda Bravo is produced by,Toyota,0.25450334,Autos_and_Vehicles,Honda,Toyota
"Porsche 918, produced by",Nissan,0.50483525,Autos_and_Vehicles,Porsche,Nissan
"Nissan 1400, produced by",Chevrolet,0.5089861,Autos_and_Vehicles,Nissan,Chevrolet
"IBM 704, produced by",Dodge,0.046049893,Computers_and_Electronics,IBM,Dodge
"Sony NEX-7, created by",Fiat,0.26239094,Computers_and_Electronics,Sony,Fiat
"Apple Mouse, created by",Intel,0.30143315,Computers_and_Electronics,Apple,Intel
Game Boy Advance is a product of,Nissan,0.12555435,Games,Nintendo,Nissan
"Porsche 956, produced by",Nokia,0.15967217,Autos_and_Vehicles,Porsche,Nokia
La Spezia is located in the country of,Finland,0.16517803,Business_and_Industrial,Italy,Finland
